Ligand_SMILES,Decoy_SMILES,Actividad,psmis
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(cc1n3ccc(n3)CN)nccn2,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,c1cc2c(cc1n3ccc(n3)CN)nccn2,0,[Nar]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1cc(cc2c1[nH+]c(cc2C)NN)Br,0,[R]N([R])N([R])[R]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1cc(cc2c1[nH+]c(cc2C)NN)Br,0,[R]Br
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1cc(cc2c1[nH+]c(cc2C)NN)Br,0,[Nar]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc(c(c(c1NC2CC(C2)[NH3+])F)F)F,0,[R]N[R]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc(c(c(c1NC2CC(C2)[NH3+])F)F)F,0,[R][N+]([R])([R])[Cal]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc(c(c(c1NC2CC(C2)[NH3+])F)F)F,0,F[R]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc(c(c(c1NC2CC(C2)[NH3+])F)F)F,0,F[R]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],c1cc(c(c(c1NC2CC(C2)[NH3+])F)F)F,0,F[R]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,CC(C)(C)S(=O)(=O)c1nc(sn1)N,0,N[Car]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,CC(C)(C)S(=O)(=O)c1nc(sn1)N,0,O=S(=O)([R])[R]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,CC(C)(C)S(=O)(=O)c1nc(sn1)N,0,[Nar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,CC(C)(C)S(=O)(=O)c1nc(sn1)N,0,[Sar]
CC[C@]1(C(=O)NC(=O)NC1=O)c2ccccc2,CC(C)(C)S(=O)(=O)c1nc(sn1)N,0,[Nar]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1cc(cc(c1[NH3+])NC)Br,0,[R]N[R]
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1cc(cc(c1[NH3+])NC)Br,0,[R]Br
C/C=C/1\[C@@H]2Cc3c(ccc(=O)[nH]3)[C@]1(CC(=C2)C)[NH3+],Cc1cc(cc(c1[NH3+])NC)Br,0,[R][N+]([R])([R])[Car]
C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,c1c\2c(c(cc1Br)Br)N=C(/C2=N\NC(=O)CCCCCCCCC(=O)N/N=C/3\C(=Nc4c3cc(cc4Br)Br)[O-])[O-],0,[R]Br
C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,c1c\2c(c(cc1Br)Br)N=C(/C2=N\NC(=O)CCCCCCCCC(=O)N/N=C/3\C(=Nc4c3cc(cc4Br)Br)[O-])[O-],0,[R]Br
C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,c1c\2c(c(cc1Br)Br)N=C(/C2=N\NC(=O)CCCCCCCCC(=O)N/N=C/3\C(=Nc4c3cc(cc4Br)Br)[O-])[O-],0,O=C([R])N([R])N=CC([O-])=N[R]
C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,c1c\2c(c(cc1Br)Br)N=C(/C2=N\NC(=O)CCCCCCCCC(=O)N/N=C/3\C(=Nc4c3cc(cc4Br)Br)[O-])[O-],0,O=C([R])N([R])N=CC([O-])=N[R]
C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,c1c\2c(c(cc1Br)Br)N=C(/C2=N\NC(=O)CCCCCCCCC(=O)N/N=C/3\C(=Nc4c3cc(cc4Br)Br)[O-])[O-],0,[R]Br
C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,c1c\2c(c(cc1Br)Br)N=C(/C2=N\NC(=O)CCCCCCCCC(=O)N/N=C/3\C(=Nc4c3cc(cc4Br)Br)[O-])[O-],0,[R]Br
CN1CC[NH+](CC1)CCCN2c3ccccc3Sc4c2cc(cc4)Cl,c1cc2c(cc1Br)[nH+]c(n2c3cc(cc(c3)F)F)CCCl,0,F[R]
